City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hirara,24.8,125.2833,25.15,94,100,2.57,JP,1717007805
1,oroqen zizhiqi,50.5667,123.7167,3.03,89,10,1.69,CN,1717007806
2,saipan,15.1355,145.701,26.39,83,100,5.66,MP,1717007806
3,buckeye,33.3703,-112.5838,37.29,10,4,3.15,US,1717007626
4,el alto,-4.2714,-81.2147,23.81,68,32,6.19,PE,1717007806
5,arkalyk,50.2486,66.9114,15.39,76,100,2.63,KZ,1717007806
6,talnakh,69.4865,88.3972,-6.0,79,96,0.92,RU,1717007806
7,quellon,-43.1167,-73.6167,10.27,76,100,4.57,CL,1717007806
8,palanga,55.9175,21.0686,17.01,77,0,1.54,LT,1717007807
9,blackmans bay,-43.0167,147.3167,12.63,58,100,0.89,AU,1717007807
10,port-aux-francais,-49.35,70.2167,1.56,70,99,19.22,TF,1717007807
11,oranjemund,-28.55,16.4333,16.28,89,17,4.48,NA,1717007807
12,esmeraldas,-19.7625,-44.3139,28.58,39,0,2.48,BR,1717007807
13,lebu,-37.6167,-73.65,12.35,77,100,2.74,CL,1717007807
14,dudinka,69.4058,86.1778,-5.74,89,12,3.13,RU,1717007807
15,yellowknife,62.456,-114.3525,20.23,49,40,1.54,CA,1717007807
16,tiksi,71.6872,128.8694,5.84,88,95,2.87,RU,1717007808
17,kununurra,-15.7667,128.7333,20.99,88,0,2.06,AU,1717007808
18,alesund,62.4723,6.1549,15.51,76,20,5.14,NO,1717007808
19,eyl,7.9803,49.8164,27.23,79,100,11.65,SO,1717007808
20,axim,4.8699,-2.2405,27.07,80,17,3.64,GH,1717007808
21,santa cruz,-17.8,-63.1667,21.7,43,8,3.09,BO,1717007640
22,weno,7.4515,151.8468,27.97,94,75,2.06,FM,1717007808
23,adamstown,-25.066,-130.1015,20.79,72,98,1.31,PN,1717007809
24,novyy turtkul',41.55,61.0167,15.95,16,0,4.34,UZ,1717007809
25,ribas do rio pardo,-20.4431,-53.7592,24.61,26,0,1.81,BR,1717007809
26,howard springs,-12.497,131.047,26.04,94,10,2.46,AU,1717007809
27,qaqortoq,60.7167,-46.0333,3.07,96,100,1.29,GL,1717007809
28,port-vila,-17.7338,168.3219,21.78,78,40,3.09,VU,1717007809
29,bethel,41.3712,-73.414,24.45,55,100,3.6,US,1717007809
30,grytviken,-54.2811,-36.5092,2.61,98,100,5.5,GS,1717007809
31,peniche,39.3558,-9.3811,21.16,86,10,8.71,PT,1717007810
32,poronaysk,49.2167,143.1167,2.89,93,100,3.65,RU,1717007810
33,waitangi,-43.9535,-176.5597,7.68,63,86,8.83,NZ,1717007810
34,arraial do cabo,-22.9661,-42.0278,21.92,73,100,6.69,BR,1717007810
35,naze,28.3667,129.4833,22.51,92,100,2.63,JP,1717007810
36,korla,41.7597,86.1469,23.95,23,100,3.42,CN,1717007810
37,bathsheba,13.2167,-59.5167,31.34,70,40,10.29,BB,1717007810
38,khandyga,62.6667,135.6,12.38,57,68,1.16,RU,1717007811
39,gadzhiyevo,69.2551,33.3362,5.28,91,67,1.91,RU,1717007811
40,stanley,54.868,-1.6985,16.77,100,75,2.06,GB,1717007811
41,bereznik,62.8551,42.7072,7.94,81,26,2.39,RU,1717007811
42,ambovombe,-25.1667,46.0833,20.16,82,0,6.43,MG,1717007811
43,howrah,22.5892,88.3103,31.0,89,75,7.2,IN,1717007811
44,port hedland,-20.3167,118.5667,19.03,94,100,3.09,AU,1717007811
45,invercargill,-46.4,168.35,6.68,87,100,2.24,NZ,1717007811
46,longyearbyen,78.2186,15.6401,3.91,87,75,1.54,SJ,1717007589
47,vega de alatorre,20.0333,-96.6333,33.36,60,0,4.92,MX,1717007812
48,edinburgh of the seven seas,-37.0676,-12.3116,12.92,62,22,6.56,SH,1717007812
49,konkwesso,10.8469,4.0984,34.39,40,47,3.78,NG,1717007812
50,alofi,-19.0595,-169.9187,24.94,94,100,3.09,NU,1717007812
51,bilibino,68.0546,166.4372,-2.52,83,100,2.16,RU,1717007812
52,albany,42.6001,-73.9662,23.08,48,79,0.89,US,1717007813
53,wailua homesteads,22.0669,-159.378,25.24,84,100,7.72,US,1717007813
54,kawambwa,-9.7915,29.0791,16.27,62,99,1.87,ZM,1717007813
55,opuwo,-18.0607,13.84,18.34,32,4,0.71,NA,1717007813
56,pijijiapan,15.7011,-93.23,34.35,53,20,4.93,MX,1717007813
57,afaahiti,-17.75,-149.2833,25.93,83,89,7.13,PF,1717007813
58,krustpils,56.5067,25.8738,15.62,96,99,1.79,LV,1717007813
59,avarua,-21.2078,-159.775,26.03,94,100,2.06,CK,1717007814
60,saacow,1.6279,42.4407,25.57,70,99,7.12,SO,1717007814
61,fallon,39.4735,-118.7774,21.93,34,40,3.6,US,1717007814
62,vila franca do campo,37.7167,-25.4333,20.23,99,100,6.41,PT,1717007814
63,yorkton,51.2167,-102.4677,22.91,38,0,10.8,CA,1717007591
64,olonkinbyen,70.9221,-8.7187,-0.64,97,100,5.37,SJ,1717007814
65,halifax,44.6453,-63.5724,23.94,72,20,5.66,CA,1717007803
66,barra da estiva,-13.6261,-41.3269,24.29,47,9,3.43,BR,1717007815
67,tazovsky,67.4667,78.7,-8.42,96,39,4.2,RU,1717007815
68,tarnogskiy gorodok,60.4997,43.5761,11.13,85,100,2.49,RU,1717007815
69,margaret river,-33.95,115.0667,15.06,66,95,8.5,AU,1717007748
70,al jawf,29.5,38.75,29.79,20,0,7.94,SA,1717007815
71,hawaiian paradise park,19.5933,-154.9731,23.91,96,100,3.09,US,1717007815
72,igarka,67.4667,86.5833,0.01,92,100,5.81,RU,1717007816
73,ushuaia,-54.8,-68.3,4.81,81,75,8.23,AR,1717007816
74,la passe,45.5549,-0.8967,18.13,94,100,6.53,FR,1717007816
75,navia,43.5354,-6.7194,18.19,77,23,0.96,ES,1717007816
76,port mathurin,-19.6833,63.4167,24.94,84,52,9.11,MU,1717007816
77,la foa,-21.7108,165.8276,19.2,70,81,0.93,NC,1717007816
78,utrik,11.2278,169.8474,27.54,80,100,5.94,MH,1717007816
79,bardai,11.65,7.2333,24.87,70,100,7.46,NG,1717007816
80,las tablas,7.7667,-80.2833,30.14,70,94,2.43,PA,1717007817
